Grandes Regiões e Unidades da Federação,Pessoas de 10 anos ou maisTotal,Pessoas de 10 anos ou maisUrbana,Pessoas de 10 anos ou maisRural,Pessoas de 10 anos ou maisAlfabetizadasTotal,Pessoas de 10 anos ou maisAlfabetizadasUrbana,Pessoas de 10 anos ou maisAlfabetizadasRural
Rondônia,1294647,953328,341319,1191857,893485,298372
Acre,574036,426344,147692,486817,381187,10563
Amazonas,2728401,2200371,52803,2466370,2061183,405187
Roraima,353509,276582,76927,319225,259864,59361
Pará,6062818,4237221,1825597,5381482,3912813,1468669
Amapá,526897,476934,49963,485313,444388,40925
Tocantins,1129733,894078,235655,995428,809793,185635
Maranhão,5265740,3384746,1880994,4248868,2905172,1343696
Piauí,2598238,1725684,872554,2048929,1467412,581517
Ceará,7111438,5368415,1743023,5888721,4661888,1226833
Rio Grande do Norte,2675748,2095710,580038,2210546,1801920,408626
Paraíba,3162340,2393702,768638,2523476,2000844,522632
Pernambuco,7375210,5957650,1417560,6140715,5161980,978735
Alagoas,2548296,1893414,654882,1974406,1547814,426592
Sergipe,1719966,1275218,444748,1427880,1117586,310294
Bahia,11766373,8535451,3230922,9954583,7612309,2342274
Minas Gerais,16891469,14445969,2445500,15597180,13552048,2045132
Espírito Santo,3005616,2510304,495312,2779576,2352946,42663
Rio de Janeiro,13909323,13461341,447982,13339525,12948908,390617
São Paulo,35726194,34288585,1437609,34263297,32945026,1318271
Paraná,8962097,7656660,1305437,8444307,7265766,1178541
Santa Catarina,5405906,4543285,862621,5197162,4392728,804434
Rio Grande do Sul,9326208,7925533,1400675,8930172,7638534,1291638
Mato Grosso do Sul,2059399,1774029,28537,1914152,1664945,249207
Mato Grosso,2537090,2083420,45367,2338505,1946720,391785
Goiás,5093197,4597636,495561,4720367,4294583,425784
Distrito Federal,2180376,2107751,72625,2109323,2043061,66262